Total_Revenue,Total_Orders,Total_Quantity
77556.46,12,74285
4921.53,8,2967
2019.4,5,2714
4428.69,4,1624
334.4,1,197
300.93,1,261
2849.84,10,724
406.76,2,212
1079.4,1,530
947.61,2,543
6371.73,6,3416
18287.66,3,6587
3887.07,5,1079
8873.39,10,2739
4252.89,8,2459
511.25,4,235
5356.23,11,2230
552.0,2,408
1313.1,4,1506
641.38,2,174
500.24,1,296
168.9,1,173
917.6999999999999,1,330
1791.15,3,1241
4316.56,7,2604
4067.38,5,1436
1298.04,3,794
1127.65,3,516
2989.2200000000003,4,1362
457.5,2,178
503.15,2,240
3426.32,4,2105
5416.32,2,3316
1620.22,4,815
9676.300000000001,11,3355
1845.31,5,808
1850.56,5,1532
585.27,2,126
1938.4,1,612
401.9,2,354
143.94,1,134
3901.11,8,2001
1433.33,3,614
549.84,1,353
2724.84,6,1204
234.75000000000003,1,73
2399.4500000000003,6,1311
1272.48,2,819
4721.17,15,3205
931.43,1,591
2409.9,2,1263
1635.6599999999999,1,1394
1962.3,7,2198
205.25,1,91
84.3,1,11
1256.9,6,584
1019.36,2,260
63.24,1,1
1710.39,1,857
6390.36,5,3416
1708.1200000000001,5,1416
4340.7699999999995,8,2229
23419.29,7,13143
1013.71,3,341
346.9,1,138
2596.93,6,1997
999.45,4,319
952.41,6,495
144458.37,28,91447
202.56,1,132
6797.41,20,2884
2021.2,4,1088
503.01,2,231
600.39,1,345
1098.6,6,652
5231.8,17,2596
2622.39,10,1793
3340.03,4,2025
1741.41,2,1147
1345.21,2,584
825.8,3,533
7956.46,9,3536
6204.41,8,2890
256.4,1,117
10432.22,27,4600
5059.32,5,1801
16794.14,10,13534
1103.43,3,532
13925.93,6,4958
509.01,1,211
12683.4,39,8000
2906.85,2,1180
1142.88,2,478
859.2,2,331
173.55,1,121
172.06,1,182
485.31,1,182
5005.46,5,1153
434.98,2,206
1002.3100000000001,1,351
476.49,1,190
449.45,1,243
4835.89,6,2282
688.2,5,442
12669.88,8,9359
430.57,2,185
707.09,1,473
16679.78,5,7703
5879.95,10,3302
3181.04,3,1633
2995.91,8,1094
1777.49,4,986
454.36,1,258
326.65,1,170
826.88,2,287
1189.59,2,536
1344.78,4,776
1212.05,8,112
742.1899999999999,2,479
56.73,1,1
132.8,1,129
3670.74,5,2201
3070.54,2,2552
211.95,1,95
39918.19,79,16858
16249.289999999999,19,10378
3928.0499999999997,5,2414
12372.75,31,7940
1149.64,2,771
14083.91,23,5631
20276.37,9,6119
680.99,1,236
527.2,1,385
5464.85,7,2952
12185.51,15,7158
23691.4,29,27042
5097.18,19,2160
6354.1,12,3266
708.1,1,414
1037.28,1,523
285.29999999999995,1,174
1298.66,3,529
334.93,1,105
9823.64,21,5906
460.40000000000003,1,260
715.21,3,444
433.74,2,207
1815.27,9,979
357.4,1,130
45.34,2,30
6248.5,3,5685
403.70000000000005,3,159
393.72,1,302
5955.21,19,3377
2169.39,1,1783
3723.87,5,820
1126.0,1,561
779.05,4,458
955.2,1,324
73.5,1,23
1844.06,4,1256
397.88,2,271
176.5,1,55
5178.02,9,2049
3084.02,1,1753
132.18,2,96
612.29,1,462
1597.76,2,840
383.7,1,131
2648.62,4,1952
2481.6,5,1361
2056.89,5,1318
716.54,2,387
2634.26,5,1439
599.68,1,309
192.72,2,194
4352.35,23,2263
11126.11,17,7178
973.73,3,509
1316.66,3,632
735.51,5,526
1933.48,6,756
316.48,1,192
3759.26,9,2713
1933.2,2,1119
349.83000000000004,1,153
1367.89,2,704
1089.18,1,651
716.35,2,219
12601.830000000002,3,2803
732.94,1,449
640.45,2,336
11214.75,7,4535
22254.49,33,11019
981.18,3,680
481.88,2,522
980.25,1,688
372.7,1,136
1000.39,2,523
1161.5,2,633
383.58,3,309
95.19999999999999,1,49
1575.68,6,1366
964.83,1,569
168.0,1,100
437.82,2,88
4608.75,12,2325
468.5,1,240
129.23,1,1
599.56,2,355
18096.14,8,6382
269.96,1,196
561.71,2,283
2134.01,3,1110
238.85,1,177
4966.92,9,2327
249.24,1,113
456.9,1,133
145.92,1,80
351.65,1,265
11767.48,15,5308
70.0,1,48
4124.69,32,1801
77.52,1,1
519.61,2,523
1020.42,2,452
717.41,5,479
218.45,1,61
622.8199999999999,2,315
2142.72,8,1494
1617.1,8,1191
4642.45,4,2380
440.42,1,285
1052.9,2,569
197.71,1,161
1980.4,4,985
13591.58,27,8535
2338.15,9,416
2040.1,2,1279
2062.67,4,687
144.0,1,51
958.78,4,438
4695.66,8,1764
9864.26,2,4283
1338.95,3,653
2582.66,5,1875
418.09999999999997,3,206
5090.110000000001,15,2768
299.02,1,271
618.27,2,474
3811.22,4,2236
4534.09,11,2906
2296.72,13,2189
4967.42,21,1383
681.26,6,290
153.12,1,162
739.1999999999999,1,63
254.18,2,201
1232.95,4,929
21.0,1,1
1579.51,1,1228
415.79,1,323
3435.86,9,1553
2099.54,5,1049
1193.32,1,846
704.0400000000001,1,262
6817.37,10,4157
315.6,1,76
5740.98,8,3317
1131.1,3,498
352.98,1,210
177.31,1,96
3781.38,10,3518
1339.41,3,1181
24311.2,35,13706
180.1,1,69
3747.84,7,1971
641.13,2,355
5164.88,4,3309
6620.48,9,3453
4478.53,7,2752
786.46,3,448
1558.22,2,722
1270.88,2,548
3481.57,6,1607
