Total_Revenue,Total_Orders,Total_Quantity
6942.26,362,8671
20.57,3,4
129.29,27,315
1.68,1,4
142.74,73,664
254.41000000000003,63,650
165.55999999999997,16,2251
24.36,18,58
14.28,10,33
1715.78,167,2103
2373.2599999999998,289,3837
721.13,52,625
4566.21,324,4226
111.22,21,261
7408.65,251,4829
73.66,26,254
1416.2600000000002,255,10153
32967.03,991,44272
4345.62,306,5101
13210.85,250,4964
4644.13,189,1670
3027.26,231,967
4559.650000000001,227,1596
47267.450000000004,857,9504
57975.450000000004,1033,11286
12228.92,344,2473
1456.3200000000002,87,116
2170.4,116,173
577.84,38,46
3153.73,148,476
3327.67,156,438
2753.72,122,470
1567.0,4,509
6444.9800000000005,449,1414
41.81,5,5
422.96,85,3141
3.84,4,32
799.3199999999999,112,3812
608.01,83,2901
9513.1,93,29355
711.38,65,1572
1870.7,106,2314
134.5,39,160
1544.52,50,15121
180.29999999999998,13,2145
389.22,3,6193
429.44,74,9312
1223.5,59,10056
1054.7,31,10612
537.06,105,3461
560.48,32,3169
46.45,8,151
84.69,4,941
281.32,35,848
185.73,10,4313
159.0,39,1210
130.71,8,273
72.5,5,52
399.0,36,950
619.5,56,1475
6558.62,419,16661
45.0,2,450
75.0,9,750
97.5,33,975
439.0,39,1050
5435.4,440,13198
4084.92,318,10026
570.4300000000001,30,8101
36.96,13,88
512.38,101,1686
126.82999999999998,11,1283
10.5,1,25
567.0,43,1350
105.0,9,250
1892.46,149,4563
409.5,34,975
10.5,1,25
658.75,60,2075
640.95,59,2060
626.25,56,2025
533.75,48,1750
12.899999999999999,1,3
213.37,9,101
81.1,5,34
290.45,21,662
528.56,22,1039
230.59,12,97
162.73,14,82
116.4,16,96
423.53000000000003,76,143
457.65000000000003,46,265
287.01,37,366
5.2,3,8
371.64,88,4158
448.13,98,4629
499.55,128,3357
1271.66,165,1520
1333.95,310,5827
593.29,260,2652
2233.15,580,10385
559.54,236,2447
492.17,21,347
441.77,8,212
479.40999999999997,28,186
765.02,28,345
13.75,7,11
101.25,12,81
305.66,40,941
232.35,35,524
70.98,10,169
375.93,101,1063
221.06,15,1016
766.09,55,5473
299.34999999999997,23,1211
14766.42,456,70369
71.4,6,34
179.56,12,261
11.100000000000001,2,19
221.4,2,335
135.70000000000002,4,209
80.60000000000001,1,124
336.20000000000005,20,385
806.16,95,726
867.4499999999999,126,721
950.4,113,856
658.7199999999999,116,520
296.78999999999996,29,263
680.65,107,586
221.03,3,256
89.46000000000001,2,213
572.4,31,1068
26.7,5,62
170.13,16,276
43.75,2,97
204.36,8,479
36.599999999999994,6,95
23.699999999999996,4,61
984.24,76,3720
84.84,2,228
2.52,1,6
867.8399999999999,69,3280
